DOI,Title,Authors,Abstract,Journal,Date
10.3390/jimaging10080192,RailTrack-DaViT: A Vision Transformer-Based Approach for Automated Railway Track Defect Detection,"Aniwat Phaphuangwittayakul, Napat Harnpornchai, Fangli Ying, Jinming Zhang","Railway track defects pose significant safety risks and can lead to accidents, economic losses, and loss of life. Traditional manual inspection methods are either time-consuming, costly, or prone to human error. This paper proposes RailTrack-DaViT, a novel vision transformer-based approach for railway track defect classification. By leveraging the Dual Attention Vision Transformer (DaViT) architecture, RailTrack-DaViT effectively captures both global and local information, enabling accurate defect detection. The model is trained and evaluated on multiple datasets including rail, fastener and fishplate, multi-faults, and ThaiRailTrack. A comprehensive analysis of the model's performance is provided including confusion matrices, training visualizations, and classification metrics. RailTrack-DaViT demonstrates superior performance compared to state-of-the-art CNN-based methods, achieving the highest accuracies: 96.9% on the rail dataset, 98.9% on the fastener and fishplate dataset, and 98.8% on the multi-faults dataset. Moreover, RailTrack-DaViT outperforms baselines on the ThaiRailTrack dataset with 99.2% accuracy, quickly adapts to unseen images, and shows better model stability during fine-tuning. This capability can significantly reduce time consumption when applying the model to novel datasets in practical applications.",J Imaging,07/08/2024
10.3390/jimaging10090227,Leveraging Perspective Transformation for Enhanced Pothole Detection in Autonomous Vehicles,"Abdalmalek Abu-Raddaha, Zaid A El-Shair, Samir Rawashdeh","Road conditions, often degraded by insufficient maintenance or adverse weather, significantly contribute to accidents, exacerbated by the limited human reaction time to sudden hazards like potholes. Early detection of distant potholes is crucial for timely corrective actions, such as reducing speed or avoiding obstacles, to mitigate vehicle damage and accidents. This paper introduces a novel approach that utilizes perspective transformation to enhance pothole detection at different distances, focusing particularly on distant potholes. Perspective transformation improves the visibility and clarity of potholes by virtually bringing them closer and enlarging their features, which is particularly beneficial given the fixed-size input requirement of object detection networks, typically significantly smaller than the raw image resolutions captured by cameras. Our method automatically identifies the region of interest (ROI)-the road area-and calculates the corner points to generate a perspective transformation matrix. This matrix is applied to all images and corresponding bounding box labels, enhancing the representation of potholes in the dataset. This approach significantly boosts detection performance when used with YOLOv5-small, achieving a 43% improvement in the average precision (AP) metric at intersection-over-union thresholds of 0.5 to 0.95 for single class evaluation, and notable improvements of 34%, 63%, and 194% for near, medium, and far potholes, respectively, after categorizing them based on their distance. To the best of our knowledge, this work is the first to employ perspective transformation specifically for enhancing the detection of distant potholes.",J Imaging,14/09/2024
10.3390/jimaging10080197,A Multi-Scale Target Detection Method Using an Improved Faster Region Convolutional Neural Network Based on Enhanced Backbone and Optimized Mechanisms,"Qianyong Chen, Mengshan Li, Zhenghui Lai, Jihong Zhu, Lixin Guan","Currently, existing deep learning methods exhibit many limitations in multi-target detection, such as low accuracy and high rates of false detection and missed detections. This paper proposes an improved Faster R-CNN algorithm, aiming to enhance the algorithm's capability in detecting multi-scale targets. This algorithm has three improvements based on Faster R-CNN. Firstly, the new algorithm uses the ResNet101 network for feature extraction of the detection image, which achieves stronger feature extraction capabilities. Secondly, the new algorithm integrates Online Hard Example Mining (OHEM), Soft non-maximum suppression (Soft-NMS), and Distance Intersection Over Union (DIOU) modules, which improves the positive and negative sample imbalance and the problem of small targets being easily missed during model training. Finally, the Region Proposal Network (RPN) is simplified to achieve a faster detection speed and a lower miss rate. The multi-scale training (MST) strategy is also used to train the improved Faster R-CNN to achieve a balance between detection accuracy and efficiency. Compared to the other detection models, the improved Faster R-CNN demonstrates significant advantages in terms of mAP@0.5, F1-score, and Log average miss rate (LAMR). The model proposed in this paper provides valuable insights and inspiration for many fields, such as smart agriculture, medical diagnosis, and face recognition.",J Imaging,13/08/2024
10.3390/jimaging10090215,"Concrete Crack Detection and Segregation: A Feature Fusion, Crack Isolation, and Explainable AI-Based Approach","Reshma Ahmed Swarna, Muhammad Minoar Hossain, Mst Rokeya Khatun, Mohammad Motiur Rahman, Arslan Munir","Scientific knowledge of image-based crack detection methods is limited in understanding their performance across diverse crack sizes, types, and environmental conditions. Builders and engineers often face difficulties with image resolution, detecting fine cracks, and differentiating between structural and non-structural issues. Enhanced algorithms and analysis techniques are needed for more accurate assessments. Hence, this research aims to generate an intelligent scheme that can recognize the presence of cracks and visualize the percentage of cracks from an image along with an explanation. The proposed method fuses features from concrete surface images through a ResNet-50 convolutional neural network (CNN) and curvelet transform handcrafted (HC) method, optimized by linear discriminant analysis (LDA), and the eXtreme gradient boosting (XGB) classifier then uses these features to recognize cracks. This study evaluates several CNN models, including VGG-16, VGG-19, Inception-V3, and ResNet-50, and various HC techniques, such as wavelet transform, counterlet transform, and curvelet transform for feature extraction. Principal component analysis (PCA) and LDA are assessed for feature optimization. For classification, XGB, random forest (RF), adaptive boosting (AdaBoost), and category boosting (CatBoost) are tested. To isolate and quantify the crack region, this research combines image thresholding, morphological operations, and contour detection with the convex hulls method and forms a novel algorithm. Two explainable AI (XAI) tools, local interpretable model-agnostic explanations (LIMEs) and gradient-weighted class activation mapping++ (Grad-CAM++) are integrated with the proposed method to enhance result clarity. This research introduces a novel feature fusion approach that enhances crack detection accuracy and interpretability. The method demonstrates superior performance by achieving 99.93% and 99.69% accuracy on two existing datasets, outperforming state-of-the-art methods. Additionally, the development of an algorithm for isolating and quantifying crack regions represents a significant advancement in image processing for structural analysis. The proposed approach provides a robust and reliable tool for real-time crack detection and assessment in concrete structures, facilitating timely maintenance and improving structural safety. By offering detailed explanations of the model's decisions, the research addresses the critical need for transparency in AI applications, thus increasing trust and adoption in engineering practice.",J Imaging,31/08/2024
10.3390/jimaging10090208,Task-Adaptive Angle Selection for Computed Tomography-Based Defect Detection,"Tianyuan Wang, Virginia Florian, Richard Schielein, Christian Kretzer, Stefan Kasperl, Felix Lucka, Tristan van Leeuwen","Sparse-angle X-ray Computed Tomography (CT) plays a vital role in industrial quality control but leads to an inherent trade-off between scan time and reconstruction quality. Adaptive angle selection strategies try to improve upon this based on the idea that the geometry of the object under investigation leads to an uneven distribution of the information content over the projection angles. Deep Reinforcement Learning (DRL) has emerged as an effective approach for adaptive angle selection in X-ray CT. While previous studies focused on optimizing generic image quality measures using a fixed number of angles, our work extends them by considering a specific downstream task, namely image-based defect detection, and introducing flexibility in the number of angles used. By leveraging prior knowledge about typical defect characteristics, our task-adaptive angle selection method, adaptable in terms of angle count, enables easy detection of defects in the reconstructed images.",J Imaging,23/08/2024
10.1038/s41586-025-08732-6,VDAC2 loss elicits tumour destruction and inflammation for cancer therapy,"Sujing Yuan, Renqiang Sun, Hao Shi, Nicole M Chapman, Haoran Hu, Cliff Guy, Sherri Rankin, Anil Kc, Gustavo Palacios, Xiaoxi Meng, Xiang Sun, Peipei Zhou, Xiaoyang Yang, Stephen Gottschalk, Hongbo Chi","Tumour cells often evade immune pressure exerted by CD8+T cells or immunotherapies through mechanisms that are largely unclear1,2. Here, using complementary in vivo and in vitro CRISPR-Cas9 genetic screens to target metabolic factors, we established voltage-dependent anion channel 2 (VDAC2) as an immune signal-dependent checkpoint that curtails interferon-γ (IFNγ)-mediated tumour destruction and inflammatory reprogramming of the tumour microenvironment. Targeting VDAC2 in tumour cells enabled IFNγ-induced cell death and cGAS-STING activation, and markedly improved anti-tumour effects and immunotherapeutic responses. Using a genome-scale genetic interaction screen, we identified BAK as the mediator of VDAC2-deficiency-induced effects. Mechanistically, IFNγ stimulation increased BIM, BID and BAK expression, with VDAC2 deficiency eliciting uncontrolled IFNγ-induced BAK activation and mitochondrial damage. Consequently, mitochondrial DNA was aberrantly released into the cytosol and triggered robust activation of cGAS-STING signalling and type I IFN response. Importantly, co-deletion of STING signalling components dampened the therapeutic effects of VDAC2 depletion in tumour cells, suggesting that targeting VDAC2 integrates CD8+T cell- and IFNγ-mediated adaptive immunity with a tumour-intrinsic innate immune-like response. Together, our findings reveal VDAC2 as a dual-action target to overcome tumour immune evasion and establish the importance of coordinately destructing and inflaming tumours to enable efficacious cancer immunotherapy.",Nature,19/03/2025
10.1016/j.cell.2025.02.014,Ligand-induced ubiquitination unleashes LAG3 immune checkpoint function by hindering membrane sequestration of signaling motifs,"Yong Jiang, Anran Dai, Yuwei Huang, Hua Li, Jian Cui, Haochen Yang, Lu Si, Tao Jiao, Zhengxu Ren, Ziwei Zhang, Si Mou, Hengrui Zhu, Wenhui Guo, Qiang Huang, Yilin Li, Manman Xue, Jingwei Jiang, Fei Wang, Li Li, Qinying Zhong, Kun Wang, Baichuan Liu, Jinjiao Wang, Gaofeng Fan, Jun Guo, Liang Chen, Creg J Workman, Zhirong Shen, Yan Kong, Dario A A Vignali, Chenqi Xu, Haopeng Wang","Lymphocyte activation gene 3 (LAG3) has emerged as a promising cancer immunotherapy target, but the mechanism underlying LAG3 activation upon ligand engagement remains elusive. Here, LAG3 was found to undergo robust non-K48-linked polyubiquitination upon ligand engagement, which promotes LAG3's inhibitory function instead of causing degradation. This ubiquitination could be triggered by the engagement of major histocompatibility complex class II (MHC class II) and membrane-bound (but not soluble) fibrinogen-like protein 1 (FGL1). LAG3 ubiquitination, mediated redundantly by the E3 ligases c-Cbl and Cbl-b, disrupted the membrane binding of the juxtamembrane basic residue-rich sequence, thereby stabilizing the LAG3 cytoplasmic tail in a membrane-dissociated conformation enabling signaling. Furthermore, LAG3 ubiquitination is crucial for the LAG3-mediated suppression of antitumor immunity in vivo. Consistently, LAG3 therapeutic antibodies repress LAG3 ubiquitination, correlating with their checkpoint blockade effects. Moreover, patient cohort analyses suggest that LAG3/CBL coexpression could serve as a biomarker for response to LAG3 blockade. Collectively, our study reveals an immune-checkpoint-triggering mechanism with translational potential in cancer immunotherapy.",Cell,06/03/2025
10.1038/s41586-025-08717-5,Oncolytic virus VG161 in refractory hepatocellular carcinoma,"Yinan Shen, Xueli Bai, Qi Zhang, Xingmei Liang, Xinyan Jin, Zeda Zhao, Wei Song, Qian Tan, Ronghua Zhao, William Jia, Shanzhi Gu, Guoming Shi, Ziwei Zheng, Guyue Wei, Youlei Wang, Tian Fang, Yuwei Li, Zijun Wang, Zifan Yang, Sida Guo, Danni Lin, Fang Wei, Lei Wang, Xiaoli Sun, Aijun Qin, Longshen Xie, Yeting Qiu, Wenqing Bao, Shah Rahimian, Manu Singh, Yanal Murad, Jianying Shang, Min Chu, Maoliang Huang, Jun Ding, Wei Chen, Yufu Ye, Yiwen Chen, Xiang Li, Tingbo Liang","Hepatocellular carcinoma remains a life-threatening malignancy with limited therapeutic options following the failure of second-line treatments1,2. Oncolytic viruses selectively replicate in and lyse cancer cells, releasing neoantigens and stimulating systemic antitumour immunity3, offering a potential therapeutic option. Here we present the results of a multicentre phase 1 clinical trial evaluating VG161, an engineered oncolytic herpes simplex virus that expresses IL-12, IL-15, IL-15Rα and a PD-1-PD-L1-blocking fusion protein4, for safety and efficacy in patients with advanced liver cancer. VG161 was well tolerated, with no dose-limiting toxicities observed, and it demonstrated promising efficacy by reshaping the tumour immune microenvironment and re-sensitizing tumours that were previously resistant to systemic treatments. Notably, we also found that patients who had previously been sensitive to checkpoint inhibitor therapy showed enhanced efficacy with VG161 treatment. Furthermore, we developed an efficacy-prediction model based on differentially expressed genes, which successfully identified patients who were likely to benefit from VG161 and predicted prolonged overall survival. These findings position VG161 as a promising third-line therapeutic option for refractory hepatocellular carcinoma. This provides a new avenue for treatment and advances the field of oncolytic virus-based immunotherapies. ClinicalTrials.gov registration:NCT04806464.",Nature,19/03/2025
10.1038/s41586-025-08741-5,Matrix-producing neutrophils populate and shield the skin,"Tommaso Vicanolo, Alaz Özcan, Jackson LiangYao Li, Carla Huerta-López, Iván Ballesteros, Andrea Rubio-Ponce, Andra C Dumitru, Jose Ángel Nicolás-Ávila, Miguel Molina-Moreno, Pablo Reyes-Gutierrez, Andrew D Johnston, Catherine Martone, Eric Greto, Antonio Quílez-Alvarez, Enrique Calvo, Elena Bonzon-Kulichenko, Rebeca Álvarez-Velez, Ming Yao Chooi, Immanuel Kwok, Blanca González-Bermúdez, Benoit Malleret, Francisco M Espinosa, Ming Zhang, Yu-Long Wang, Dasheng Sun, Shu Zhen Chong, Ali El-Armouche, Kevin K Kim, Irina A Udalova, Valentina Greco, Ricardo Garcia, Jesús Vázquez, Ana Dopazo, Gustavo R Plaza, Jorge Alegre-Cebollada, Stefan Uderhardt, Lai Guan Ng, Andrés Hidalgo","Defence from environmental threats is provided by physical barriers that confer mechanical protection and prevent the entry of microorganisms1. If microorganisms overcome those barriers, however, innate immune cells use toxic chemicals to kill the invading cells2,3. Here we examine immune diversity across tissues and identify a population of neutrophils in the skin that expresses a broad repertoire of proteins and enzymes needed to build the extracellular matrix. In the naive skin, these matrix-producing neutrophils contribute to the composition and structure of the extracellular matrix, reinforce its mechanical properties and promote barrier function. After injury, these neutrophils build 'rings' of matrix around wounds, which shield against foreign molecules and bacteria. This structural program relies on TGFβ signalling; disabling the TGFβ receptor in neutrophils impaired ring formation around wounds and facilitated bacterial invasion. We infer that the innate immune system has evolved diverse strategies for defence, including one that physically shields the host from the outside world.",Nature,19/03/2025
10.1016/j.cmet.2025.02.007,Dietary timing enhances exercise by modulating fat-muscle crosstalk via adipocyte AMPKα2 signaling,"Jianghui Chen, Jing Xiang, Meiyu Zhou, Rongfeng Huang, Jianxin Zhang, Yuanting Cui, Xiaoqing Jiang, Yang Li, Runchao Zhou, Haoran Xin, Jie Li, Lihua Li, Sin Man Lam, Jianfang Zhu, Yanxiu Chen, Qingyuan Yang, Zhifu Xie, Guanghou Shui, Fang Deng, Zhihui Zhang, Min-Dian Li","Feeding rhythms regulate exercise performance and muscle energy metabolism. However, the mechanisms regulating adipocyte functions remain unclear. Here, using multi-omics analyses, involving (phospho-)proteomics and lipidomics, we found that day-restricted feeding (DRF) regulates diurnal rhythms of the mitochondrial proteome, neutral lipidome, and nutrient-sensing pathways in mouse gonadal white adipose tissue (GWAT). Adipocyte-specific knockdown of Prkaa2 (the gene encoding AMPKα2) impairs physical endurance. This defect is associated with altered rhythmicity in acyl-coenzyme A (CoA) metabolism-related genes, a loss of rhythmicity in the GWAT lipidome, and circadian remodeling of serum metabolites-in particular, lactate and succinate. We also found that adipocyte Prkaa2 regulates muscle clock genes during DRF. Notably, oral administration of the AMPK activator C29 increases endurance and muscle functions in a time-of-day manner, which requires intact adipocyte AMPKα2 signaling. Collectively, our work defines adipocyte AMPKα2 signaling as a critical regulator of circadian metabolic coordination between fat and muscle, thereby enhancing exercise performance.",Cell Metab,12/03/2025
