Tweet ID,Tweet Date,Media Name,Media Origin,Teaser Text,Tag Value
1302968016477589504,07-09-2020,El País,Uruguay,segundadivisión fortaleza ataque ramplar terminar invicto rocha,No
1296805148950515713,21-08-2020,El País,Uruguay,lanatar argentino ir él fracasar,No
1303065732884967426,07-09-2020,El País,Uruguay,raffo montevideano alerta error grueso costoso cosse,No
1302462441520074757,06-09-2020,El País,Uruguay,eco universo joven uruguayo desentraña explicar secreto onda gravitacional,Clickbait
1301763104435589120,04-09-2020,El País,Uruguay,propuesta quinquenal anep aumento presupuesto meta aprendizaje innovación propuesta anep historia ente autónomo fijar meta aprendizaje,No
1300571357714018304,31-08-2020,El País,Uruguay,salida peñarol quedar reproche fútbol,No
1300770685577555968,01-09-2020,El País,Uruguay,apertura2020 carballo armar ganar titularidad,No
1276187700618551305,25-06-2020,El País,Uruguay,reseñar temporada tendencia netflix puro ansiedad,No
1300163947308503042,30-08-2020,El País,Uruguay,salir fondo volver ganar respirar descenso vencer progreso,No
1297586498863235072,23-08-2020,El País,Uruguay,apertura2020 rentista salvar mes minuto frente peñarol,Clickbait
1298708074161557506,26-08-2020,El País,Uruguay,paso seguir carrera manchester confirmar decisión querer manchester,No
1293982645110681600,13-08-2020,El País,Uruguay,equipo dirigir tornado sumar campeón mundo,Clickbait
1297028854192771072,22-08-2020,El País,Uruguay,lukashenko aislado endurecer represión reconocer resultado elección fraude anunciar sanción régimen,No
1286349298813280258,23-07-2020,El País,Uruguay,eliminatoria almado candidato dirigir ecuador,No
1285765707196760064,22-07-2020,El País,Uruguay,fútboluruguayo river renovó concesión saroldi bautizar tribuna,No
1304042795326476290,10-09-2020,infobae,Argentina,profepa continuar investigar tigre inspeccionar domicilio resguardar,No
1301034000765521920,02-09-2020,infobae,Argentina,ligar positivo quinto ocasión tomar humor,Clickbait
1299222942136455168,28-08-2020,infobae,Argentina,dólares sospechoso movimiento vigilar banco central limitar infracción compra mensual,Clickbait
1300914734615715845,01-09-2020,Clarín,Argentina,facebook amenaza bloquear opción compartir noticia precedente mundo,No
1289280302901129217,31-07-2020,infobae,Argentina,negociar compra tik sospechado vínculo régimen chino,No
1292153739579551744,08-08-2020,infobae,Argentina,contratar asesoramiento político millón dólares,No
1293126787594035200,11-08-2020,infobae,Argentina,esposa oficial preso contestar saab quejar incomunicado dirección inteligencia esposo secuestrado,No
1292175884858753024,08-08-2020,infobae,Argentina,delantera tigre femenil positivo arranque torneo,No
1290812652474646528,05-08-2020,infobae,Argentina,respaldar plan consejo agroindustrial foco aumento exportación generación empleo,No
1305504718521851906,14-09-2020,Clarín,Argentina,tacc necesitar comida celíaco,Clickbait
1302281752069763074,05-09-2020,infobae,Argentina,pese anuncio alejar jugar juventus ganar temporada,Clickbait
1286665572499906561,24-07-2020,infobae,Argentina,expresión figura secundario debilitir autoridad presidente,No
1301723424990154752,04-09-2020,infobae,Argentina,elegir capitán decidir ir él club,Clickbait
1301196069271826433,02-09-2020,infobae,Argentina,foto nico él poturalski restaurante esposo bran pitt,Clickbait
1285071825483911168,20-07-2020,infobae,Argentina,deudar fijar estrategia cerrar bonista negociar fmi club,No
1293365345374396417,12-08-2020,infobae,Argentina,fallido refuerzo anticipar destino marcelo,Clickbait
